Using GPU
1
Epoch 103/300 | Loss: 1.4671 | Acc: 48.27%
Epoch 104/300 | Loss: 1.4820 | Acc: 48.59%
Epoch 105/300 | Loss: 1.4167 | Acc: 47.79%
Epoch 106/300 | Loss: 1.5703 | Acc: 48.15%
Epoch 107/300 | Loss: 1.3904 | Acc: 48.96%
Epoch 108/300 | Loss: 1.5217 | Acc: 49.14%
Epoch 109/300 | Loss: 1.4800 | Acc: 48.04%
Epoch 110/300 | Loss: 1.4120 | Acc: 49.07%
Epoch 111/300 | Loss: 1.4939 | Acc: 48.27%
Epoch 112/300 | Loss: 1.6297 | Acc: 48.09%
Epoch 113/300 | Loss: 1.5226 | Acc: 48.54%
Epoch 114/300 | Loss: 1.4123 | Acc: 48.23%
Epoch 115/300 | Loss: 1.3806 | Acc: 49.51%
Epoch 116/300 | Loss: 1.4386 | Acc: 48.94%
Epoch 117/300 | Loss: 1.3602 | Acc: 49.54%
Epoch 118/300 | Loss: 1.5535 | Acc: 49.28%
Epoch 119/300 | Loss: 1.6228 | Acc: 48.81%
Epoch 120/300 | Loss: 1.4135 | Acc: 49.20%
Epoch 121/300 | Loss: 1.3653 | Acc: 48.27%
Epoch 122/300 | Loss: 1.5157 | Acc: 48.81%
Epoch 123/300 | Loss: 1.3791 | Acc: 48.64%
Epoch 124/300 | Loss: 1.4247 | Acc: 48.18%
Epoch 125/300 | Loss: 1.3780 | Acc: 49.19%
Epoch 126/300 | Loss: 1.3863 | Acc: 49.20%
Epoch 127/300 | Loss: 1.4432 | Acc: 48.77%
Epoch 128/300 | Loss: 1.4521 | Acc: 48.65%
Epoch 129/300 | Loss: 1.5196 | Acc: 49.54%
Epoch 130/300 | Loss: 1.3488 | Acc: 48.81%
Epoch 131/300 | Loss: 1.4052 | Acc: 49.02%
Epoch 132/300 | Loss: 1.6429 | Acc: 48.71%
Epoch 133/300 | Loss: 1.2921 | Acc: 48.65%
Epoch 134/300 | Loss: 1.1539 | Acc: 48.73%
Epoch 135/300 | Loss: 1.3695 | Acc: 48.42%
Epoch 136/300 | Loss: 1.2487 | Acc: 49.12%
Epoch 137/300 | Loss: 1.2262 | Acc: 49.12%
Epoch 138/300 | Loss: 1.2666 | Acc: 47.54%
Epoch 139/300 | Loss: 1.3904 | Acc: 49.09%
Epoch 140/300 | Loss: 1.6580 | Acc: 49.68%
Epoch 141/300 | Loss: 1.4335 | Acc: 50.13%
Epoch 142/300 | Loss: 1.4209 | Acc: 48.63%
Epoch 143/300 | Loss: 1.4025 | Acc: 48.46%
Epoch 144/300 | Loss: 1.3873 | Acc: 49.93%
Epoch 145/300 | Loss: 1.3749 | Acc: 49.70%
Epoch 146/300 | Loss: 1.6054 | Acc: 49.33%
Epoch 147/300 | Loss: 1.5544 | Acc: 49.35%
Epoch 148/300 | Loss: 1.4531 | Acc: 49.49%
Epoch 149/300 | Loss: 1.3557 | Acc: 49.43%
Epoch 150/300 | Loss: 1.4623 | Acc: 50.14%
Epoch 151/300 | Loss: 1.3024 | Acc: 50.39%
Epoch 152/300 | Loss: 1.4397 | Acc: 49.79%
Epoch 153/300 | Loss: 1.3196 | Acc: 49.76%
Epoch 154/300 | Loss: 1.4371 | Acc: 49.00%
Epoch 155/300 | Loss: 1.2301 | Acc: 49.71%
Epoch 156/300 | Loss: 1.5998 | Acc: 49.97%
Epoch 157/300 | Loss: 1.3960 | Acc: 49.45%
Epoch 158/300 | Loss: 1.3697 | Acc: 49.82%
Epoch 159/300 | Loss: 1.4605 | Acc: 49.88%
Epoch 160/300 | Loss: 1.3803 | Acc: 49.41%
Epoch 161/300 | Loss: 1.2798 | Acc: 49.84%
Epoch 162/300 | Loss: 1.5118 | Acc: 49.47%
Epoch 163/300 | Loss: 1.4165 | Acc: 49.51%
Epoch 164/300 | Loss: 1.3486 | Acc: 49.91%
Epoch 165/300 | Loss: 1.3471 | Acc: 50.59%
Epoch 166/300 | Loss: 1.4912 | Acc: 50.11%
Epoch 167/300 | Loss: 1.4469 | Acc: 49.86%
Epoch 168/300 | Loss: 1.3805 | Acc: 49.93%
Epoch 169/300 | Loss: 1.3153 | Acc: 50.44%
Epoch 170/300 | Loss: 1.1411 | Acc: 49.55%
Epoch 171/300 | Loss: 1.2817 | Acc: 49.57%
Epoch 172/300 | Loss: 1.3358 | Acc: 49.67%
Epoch 173/300 | Loss: 1.4200 | Acc: 49.87%
Epoch 174/300 | Loss: 1.3614 | Acc: 50.02%
Epoch 175/300 | Loss: 1.3181 | Acc: 50.31%
Epoch 176/300 | Loss: 1.3182 | Acc: 49.21%
